City,Country,City ID,Latitude,Temperature,Wind Speed,Humidity,Cloudiness
Kapaa,US,5848280,22.08,75.2,4.03,88,75
Laibin,CN,1804609,23.74,67.29,2.8,94,20
Albany,AU,2077963,-35.02,47.26,3.47,88,0
Port Moresby,PG,2088122,-9.47,75.2,5.82,100,20
Hithadhoo,MV,1282256,-0.6,85.69,9.28,99,80
New Norfolk,AU,2155415,-42.78,59.0,13.87,54,75
Morrope,PE,3694586,-6.54,78.8,17.22,65,40
Ushuaia,AR,3833367,-54.81,50.0,5.82,76,40
Bluff,NZ,2206939,-46.6,61.35,20.24,88,48
Mayo,CA,6068416,63.59,28.4,5.82,36,90
Busselton,AU,2075265,-33.64,59.91,16.33,100,0
Mezen,RU,527321,65.85,17.07,2.35,85,32
Norman Wells,CA,6089245,65.28,24.8,6.93,79,90
Butaritari,KI,2110227,3.07,83.94,14.76,96,76
Port Elizabeth,ZA,964420,-33.92,68.0,6.93,100,75
Saldanha,ZA,3361934,-33.01,66.2,8.05,68,8
Mount Isa,AU,2065594,-20.73,80.6,8.05,54,0
Hobart,AU,2163355,-42.88,59.0,13.87,54,75
Bardstown,US,4283133,37.81,50.76,6.93,76,90
Kahului,US,5847411,20.89,77.43,6.93,69,20
Port Alfred,ZA,964432,-33.59,72.82,14.09,88,24
Katsuura,JP,1865309,33.93,55.4,11.41,87,20
Thompson,CA,6165406,55.74,-0.41,10.29,44,75
Bethel,US,5880568,60.79,33.8,14.99,86,40
Minab,IR,123941,27.15,75.2,6.93,78,0
Vaini,TO,4032243,-21.2,80.6,1.12,83,75
Mar del Plata,AR,3863379,-46.43,71.74,12.19,35,0
Sao Gabriel da Cachoeira,BR,3662342,-0.13,86.01,2.91,69,20
Salalah,OM,286621,17.01,80.6,4.7,83,0
Sao Joao da Barra,BR,3448903,-21.64,80.6,14.99,69,0
Cape Town,ZA,3369157,-33.93,62.6,2.24,88,0
Camacha,PT,2270385,33.08,61.59,11.41,82,40
Rikitea,PF,4030556,-23.12,78.54,7.27,100,0
Alpena,US,4984075,45.06,34.48,10.29,46,40
Paamiut,GL,3421193,61.99,34.39,1.9,85,0
Teahupoo,PF,4033543,-17.83,86.0,8.05,62,40
Lanigan,CA,6049515,51.85,15.31,9.06,97,0
Ulaanbaatar,MN,2028462,47.92,12.2,6.71,61,0
Morehead,PG,2090495,-8.71,75.03,5.03,94,12
Qaanaaq,GL,3831208,77.48,11.17,2.91,95,80
Hermanus,ZA,3366880,-34.42,59.64,2.91,90,0
Avarua,CK,4035715,-21.21,80.6,8.05,83,90
Porto Tolle,IT,3170070,44.95,48.2,6.93,93,0
Aljezur,PT,2271968,37.31,57.52,7.61,98,80
Padang,ID,1633419,-0.92,80.79,7.05,100,44
